FIELD_LABELS FZ IZ VOR PZ CAS MF AND AB 5-FC
CZPFK081 0.5 0.0625 0.0313 0.0313 0.5 1 1 0.25 0.125
CZPFK082 16 1 8 1 0.0313 0.0313 0.0313 1 0.125
CZPFK083 64 4 2 2 0.0313 0.016 0.0313 1 0.125
CZPFK084 16 16 8 8 0.016 0.016 0.016 0.25 0.125
CZPFK085 0.5 0.0625 0.0313 0.0625 0.5 1 1 0.25 0.125
CZPFK086 256 16 4 8 0.0313 0.016 0.016 0.5 0.125
CZPFK087 16 0.5 8 0.5 0.125 0.0313 0.125 0.5 0.125
CZPFK088 16 1 8 2 0.016 0.0313 0.0313 1 0.125
CZPFK089 256 16 4 8 0.0313 0.016 0.016 0.5 0.125
CZPFK090 16 16 16 16 0.016 0.016 0.016 0.5 0.125
CZPFK091 64 2 2 8 0.0313 0.016 0.016 0.5 0.125
CZPFK092 16 0.25 1 0.125 0.5 0.5 0.25 0.25 0.125
CZPFK093 16 0.5 1 0.5 0.125 0.125 0.0313 0.5 8
CZPFK094 1 0.125 0.0625 0.0625 0.5 1 1 0.25 0.125
CZPFK095 0.25 0.0313 0.0313 0.0313 0.016 0.016 0.016 0.25 0.125
CZPFK096 2 0.0625 0.25 0.125 0.016 0.016 0.016 1 0.125
CZPFK097 4 0.0625 0.125 0.0625 0.5 0.5 0.5 0.125 0.125
CZPFK098 0.25 0.0625 0.0313 0.0313 0.5 1 2 0.5 0.125
CZPFK099 4 0.25 0.0625 0.25 0.25 1 1 0.25 64
CZPFK101 64 0.5 1 1 0.0313 0.016 0.0313 0.5 0.125
CZPFK102 16 0.25 1 0.25 0.5 0.5 0.5 0.5 0.125
CZPFK104 16 1 0.5 2 0.0625 0.016 0.0313 0.5 0.125
CZPFK106 4 0.25 0.0625 0.25 0.25 0.5 0.5 0.25 0.125
CZPFK107 16 16 8 0.0313 0.0625 0.016 0.0313 0.5 0.125
CZPFK108 0.25 0.0313 0.0313 0.0313 0.25 0.25 0.125 0.125 0.125
CZPFK109 0.25 0.0625 0.0313 0.0313 0.5 1 1 0.5 0.125
CZPFK110 2 0.5 0.125 0.125 0.0625 1 0.0625 0.5 0.125
CZPFK111 0.5 0.0625 0.0313 0.0313 0.5 1 1 0.5 0.125
CZPFK112 16 16 16 16 0.0625 0.125 0.125 8 0.125
CZPFK113 16 1 1 1 0.0313 0.016 0.016 0.25 0.125
CZPFK114 1 0.0625 0.0313 0.0625 0.25 0.5 0.5 0.125 0.125
CZPFK115 1 0.125 0.0313 0.0625 0.125 0.25 0.125 0.25 0.125
CZPFK116 128 16 0.5 1 0.016 0.016 0.016 0.5 64
